num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_counts,platform
4509,470603028,Bearish,617819,BlueSkiesTrader,2015-10-19,US,12,16,1089,1462,42,Android
4510,470602484,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,10,0,526,256,0,Web
4511,470602027,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1093,266,15,iOS
4512,470601702,Bullish,2841306,DeFi_Wookie,2019-10-04,US,328,19,25194,6769,21,iOS
4513,470601577,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4514,470601534,NULL,128933,ElliottwaveForecast,2012-01-10,US,42889,17,399335,6,25,Web
4515,470601528,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,10,0,526,256,0,Web
4516,470601342,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,10,0,526,256,0,Web
4517,470601158,NULL,3057652,TopStonks,2020-01-27,US,2329,1324,87637,732,2,TopStonks
4518,470600464,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4519,470600295,NULL,5305403,ExchangeMore,2021-04-01,US,29,9,293,136,11,iOS
4520,470600194,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4521,470599932,NULL,2942766,Decrypt,2019-12-01,US,291,362,12134,169,0,Zapier
4522,470599910,NULL,6641050,blackeagle7,2022-05-24,US,8,7,481,14574,14,Android
4523,470599879,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4524,470599635,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4525,470599382,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4526,470598974,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4527,470598115,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4528,470598051,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4529,470597601,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4530,470597208,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4531,470597037,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4532,470596925,NULL,805374,callit24,2016-07-27,US,18,79,3970,1654,56,iOS
4533,470596702,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4534,470596581,NULL,4744627,JavierAyala,2021-01-28,US,235,23,8639,818,12,iOS
4535,470596467,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4536,470596379,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4537,470596360,Bullish,5305403,ExchangeMore,2021-04-01,US,27,9,292,136,11,Web
4538,470596226,NULL,4314912,lusoSpanishTrader,2020-11-18,US,51,9,2579,1675,27,Android
4539,470594939,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4540,470594894,Bullish,3343405,DaeXpert,2020-04-22,US,83,23,7991,16700,29,Android
4541,470594373,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8447,2,167626,21810,296,Web
4542,470594355,Bullish,3116080,Actionbronson,2020-02-22,US,766,976,15958,37530,88,Web
4543,470594205,NULL,1707210,Rjay1,2018-11-11,US,39,185,2349,563,300,iOS
4544,470594051,Bearish,6358556,rumneychel,2022-02-26,US,20,10,1093,266,15,iOS
4545,470593226,NULL,6310610,CryptoNewsAlerts,2022-02-05,US,25,111,863,19,13,Web
4546,470592952,Bullish,3793412,Allgood2020,2020-07-15,US,283,190,1943,391,281,iOS
4547,470592891,Bullish,4320417,Henery007,2020-11-20,US,32,0,1862,4718,2,Android
4548,470592695,NULL,1605285,Dayvid,2018-09-10,US,672,5,28416,11966,11,iOS
4549,470591675,NULL,5805009,AntDX316,2021-08-17,US,6,0,619,167,9,Web
4550,470591262,NULL,128933,ElliottwaveForecast,2012-01-10,US,42889,17,399335,6,25,Web
4551,470590370,Bullish,6574716,cryptoforecast,2022-04-26,US,42,53,1756,5160,65,Web
4552,470589418,Bearish,3116080,Actionbronson,2020-02-22,US,766,976,15958,37530,88,Web
4553,470589244,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4554,470587322,Bullish,6730560,Morrison44322,2022-07-06,NULL,0,2,5,3,3,iOS
4555,470586218,Bullish,6641050,blackeagle7,2022-05-24,US,8,6,488,14601,14,Android
4556,470586070,Bullish,3882259,RamboTrades,2020-07-31,US,262,10,8157,18449,7,iOS
4557,470585995,Bullish,3456612,Jack_Harlow,2020-05-15,US,69,29,4716,8463,33,iOS
4558,470585685,NULL,5415025,lovecryptoss,2021-04-30,US,12,2,1887,2204,25,Android
4559,470585457,Bullish,619926,johnny_octo,2015-10-22,US,3,58,132,61,9,iOS
4560,470584253,Bullish,5294252,BanzaiB,2021-03-28,US,24,46,203,875,11,iOS
4561,470583635,NULL,2942766,Decrypt,2019-12-01,US,291,362,12134,169,0,Zapier
4562,470583057,Bullish,6096179,i_am_a_financial_advisor,2021-11-12,US,43,4,1102,133,3,Web
4563,470582335,NULL,5414477,TILLYWISE,2021-04-30,US,52,5,6119,2720,66,Android
4564,470581928,Bullish,4650770,Brycea,2021-01-21,US,16,3,1433,217,31,iOS
4565,470581651,NULL,1000988,k53,2017-03-18,US,23,73,3945,1238,100,Android
4566,470581523,Bullish,6123911,DaSnowman,2021-11-22,US,12,0,1863,812,8,iOS
4567,470581334,NULL,6229183,OldmanSachss,2022-01-05,US,31,6,2046,912,17,Android
4568,470581135,Bullish,936892,Grand_Optimist,2017-01-26,US,866,8,8574,2643,103,iOS
4569,470580067,Bullish,2234434,MahketMaka,2019-07-31,US,138,30,12389,13071,43,Android
4570,470579637,NULL,6694883,OELBIO,2022-06-14,NULL,0,1,41,96,12,iOS
4571,470579448,NULL,6141077,replyguy,2021-11-28,US,3,19,660,629,11,Android
4572,470579388,NULL,5415725,grqhodl,2021-05-01,US,3,1,414,1198,8,Android
4573,470579373,Bullish,6285418,SayLetsGoBrandon,2022-01-27,US,26,4,1205,4330,3,iOS
4574,470579367,NULL,4744627,JavierAyala,2021-01-28,US,235,23,8639,818,12,iOS
4575,470579197,Bullish,4546080,Apesmcamc,2021-01-08,US,21,60,2564,2084,22,iOS
4576,470579020,Bullish,6609696,unstablecoinDo,2022-05-11,US,2,0,117,28,20,iOS
4577,470578919,NULL,1555408,STCKPRO,2018-07-24,US,9009,2,942455,51,0,STCK.PRO
4578,470578632,Bearish,3902238,Pitbullbearista,2020-08-04,US,259,48,21433,13076,83,iOS
4579,470578455,Bullish,553289,waynebruce,2015-07-20,US,6,6,864,317,153,iOS
4580,470578416,Bullish,1322211,GrimStonk737,2017-12-18,US,118,497,5242,1259,34,iOS
4581,470578285,NULL,1933605,catladytrader,2019-03-13,US,1310,23,19699,21698,41,Android
4582,470577925,Bullish,5321723,MWadeTrades,2021-04-06,US,862,11,5522,12135,6,iOS
4583,470577692,Bullish,1322211,GrimStonk737,2017-12-18,US,118,497,5242,1259,34,iOS
4584,470577462,Bullish,3688898,marketp,2020-06-25,US,195,44,5123,10662,283,iOS
4585,470576391,NULL,128933,ElliottwaveForecast,2012-01-10,US,42890,17,399301,6,25,Web
4586,470575772,Bullish,5222944,AABBGOLDDIGITALCURRENCY,2021-03-11,US,191,62,10058,46573,74,iOS
4587,470575503,NULL,6308215,GreenOriginInvestment,2022-02-04,US,653,8,11984,851,6,Web
4588,470574409,Bullish,107331,Rybosworld,2011-09-21,US,21,75,1847,1269,147,iOS
4589,470574130,Bullish,854155,Rob8729,2016-10-05,US,17,5,1375,934,46,iOS
4590,470574105,NULL,3037428,declercqm,2020-01-17,US,5,6,166,119,53,iOS
4591,470573730,Bullish,6725973,DefiBread,2022-07-02,US,2,1,246,24,47,Android
4592,470573506,NULL,4314912,lusoSpanishTrader,2020-11-18,US,51,9,2579,1675,27,Android
4593,470573251,Bullish,3585340,markosu,2020-06-09,US,16,3,3359,4182,29,iOS
4594,470572422,Bullish,1003740,Andy19,2017-03-21,US,28,57,2384,6987,141,iOS
4595,470572158,Bullish,3446598,DFWxplorer,2020-05-13,US,192,67,7167,95038,44,iOS
4596,470571685,NULL,3037428,declercqm,2020-01-17,US,5,6,166,119,53,iOS
4597,470571637,NULL,3711032,KyleK2468,2020-06-29,US,18,16,1947,497,6,iOS
4598,470571500,Bearish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16251,18529,19,Web
4599,470571067,NULL,1605285,Dayvid,2018-09-10,US,672,5,28416,11966,11,iOS
